2016.05.07. 20:42:57	 ErrorLog has been started.
2016.05.07. 20:44:05	 ErrorLog has been started.
2016.05.12. 20:51:49	 ErrorLog has been started.
2016.05.12. 20:51:49	 A szál megszakadt.
2016.05.12. 22:04:42	 ErrorLog has been started.
2016.05.12. 22:04:42	 A port zárva van.
2016.05.12. 22:04:43	 A port zárva van.
2016.05.12. 22:04:44	 A port zárva van.
2016.05.13. 20:32:08	 ErrorLog has been started.
2016.05.13. 20:43:41	 ErrorLog has been started.
2016.05.13. 21:03:56	 ErrorLog has been started.
2016.05.13. 21:11:56	 ErrorLog has been started.
2016.05.13. 21:50:01	 ErrorLog has been started.
2016.05.13. 21:50:56	 ErrorLog has been started.
2016.05.13. 21:56:46	 ErrorLog has been started.
2016.05.13. 22:01:13	 ErrorLog has been started.
2016.05.13. 22:10:10	 ErrorLog has been started.
2016.05.14. 12:47:05	 ErrorLog has been started.
2016.05.14. 12:49:45	 ErrorLog has been started.
2016.05.14. 12:51:42	 ErrorLog has been started.
2016.05.14. 16:55:17	 ErrorLog has been started.
2016.05.14. 17:28:52	 ErrorLog has been started.
2016.05.14. 17:32:59	 ErrorLog has been started.
2016.06.02. 21:37:37	 ErrorLog has been started.
2016.06.02. 22:24:42	 ErrorLog has been started.
2016.06.04. 11:27:42	 ErrorLog has been started.
2016.06.04. 13:01:57	 ErrorLog has been started.
2016.06.04. 13:14:41	 ErrorLog has been started.
2016.06.04. 13:17:58	 ErrorLog has been started.
2016.06.04. 13:19:26	 ErrorLog has been started.
2016.06.04. 14:23:23	 ErrorLog has been started.
2016.06.06. 19:35:40	 ErrorLog has been started.
2016.06.06. 19:41:28	 ErrorLog has been started.
2016.06.18. 12:33:37	 ErrorLog has been started.
2016.06.18. 13:46:27	 ErrorLog has been started.
2016.06.23. 19:54:46	 ErrorLog has been started.
2016.06.23. 21:08:51	 ErrorLog has been started.
2016.06.26. 17:11:29	 ErrorLog has been started.
2016.06.26. 17:16:23	 ErrorLog has been started.
2016.06.26. 17:17:52	 ErrorLog has been started.
2016.06.26. 17:18:05	 Az eszköz nem ismeri fel a parancsot.

2016.06.26. 17:18:06	 A port zárva van.
2016.06.26. 17:18:07	 A port zárva van.
2016.06.26. 17:18:08	 A port zárva van.
2016.06.26. 17:18:10	 A port zárva van.
2016.06.26. 17:18:12	 A port zárva van.
2016.06.26. 17:18:14	 A port zárva van.
2016.06.26. 17:18:18	 A port zárva van.
2016.06.26. 17:18:20	 A port zárva van.
2016.06.26. 17:18:21	 A port zárva van.
2016.06.26. 17:18:22	 A port zárva van.
2016.06.26. 17:18:24	 A port zárva van.
2016.06.26. 17:18:36	 A port zárva van.
2016.06.26. 17:19:39	 ErrorLog has been started.
2016.07.17. 20:22:34	 ErrorLog has been started.
2016.07.19. 19:40:03	 ErrorLog has been started.
2016.07.19. 20:49:42	 ErrorLog has been started.
2016.07.21. 22:11:11	 ErrorLog has been started.
2016.07.21. 22:11:11	 Error: Empty portname

2016.07.21. 22:11:14	 Error: Empty portname

2016.07.21. 22:11:15	 Error: Empty portname

2016.07.23. 20:33:06	 ErrorLog has been started.
2016.07.23. 22:18:24	 ErrorLog has been started.
2016.07.23. 22:19:27	 ErrorLog has been started.
2016.07.23. 22:31:28	 ErrorLog has been started.
2016.07.23. 22:41:32	 ErrorLog has been started.
2016.07.23. 22:43:55	 ErrorLog has been started.
2016.07.23. 22:48:01	 ErrorLog has been started.
2016.07.23. 22:48:27	 Application closed
2016.07.23. 22:50:00	 ErrorLog has been started.
2016.07.23. 22:50:00	 Application closed
2016.07.23. 22:54:05	 ErrorLog has been started.
2016.07.23. 22:54:28	 Application closed
2016.07.23. 22:56:11	 ErrorLog has been started.
2016.07.23. 22:56:43	 Application closed
2016.07.23. 22:58:13	 ErrorLog has been started.
2016.07.23. 22:58:30	 Application closed
2016.07.23. 23:01:34	 ErrorLog has been started.
2016.07.23. 23:01:39	 Application closed
2016.07.25. 18:38:39	 ErrorLog has been started.
2016.07.25. 18:39:57	 Application closed
2016.07.25. 18:41:42	 ErrorLog has been started.
2016.07.25. 18:42:21	 Application closed
2016.07.25. 18:48:25	 ErrorLog has been started.
2016.07.25. 19:14:10	 ErrorLog has been started.
2016.07.25. 19:15:00	 Application closed
2016.07.25. 19:17:02	 ErrorLog has been started.
2016.07.25. 19:17:47	 Application closed
2016.07.25. 19:20:22	 ErrorLog has been started.
2016.07.25. 19:21:15	 Application closed
2016.07.25. 19:22:40	 ErrorLog has been started.
2016.07.25. 19:22:54	 Application closed
2016.07.25. 19:30:21	 ErrorLog has been started.
2016.07.25. 19:30:55	 Application closed
2016.07.25. 19:33:31	 ErrorLog has been started.
2016.07.25. 19:36:00	 Application closed
2016.07.25. 19:36:38	 ErrorLog has been started.
2016.07.25. 19:37:46	 Application closed
2016.07.25. 20:06:30	 ErrorLog has been started.
2016.07.25. 20:07:20	 Application closed
2016.07.25. 20:08:15	 ErrorLog has been started.
2016.07.25. 20:08:32	 Application closed
2016.07.25. 20:25:47	 ErrorLog has been started.
2016.07.25. 20:27:07	 Application closed
2016.07.25. 20:37:55	 ErrorLog has been started.
2016.07.25. 20:37:55	 Application closed
2016.07.25. 20:42:20	 ErrorLog has been started.
2016.07.25. 20:47:34	 ErrorLog has been started.
2016.07.25. 20:55:44	 ErrorLog has been started.
2016.07.25. 20:57:47	 Application closed
2016.07.25. 21:04:23	 ErrorLog has been started.
2016.07.25. 21:04:55	 Application closed
2016.07.25. 21:08:09	 ErrorLog has been started.
2016.07.25. 21:09:13	 Application closed
2016.07.25. 21:10:11	 ErrorLog has been started.
2016.07.25. 21:13:14	 ErrorLog has been started.
2016.07.25. 21:14:22	 ErrorLog has been started.
2016.07.25. 21:15:02	 Application closed
2016.07.25. 21:15:30	 ErrorLog has been started.
2016.07.25. 21:15:42	 Application closed
2016.07.29. 21:04:32	 ErrorLog has been started.
2016.07.29. 21:10:03	 ErrorLog has been started.
2016.07.29. 21:24:34	 ErrorLog has been started.
2016.07.29. 21:33:30	 ErrorLog has been started.
2016.07.29. 21:39:32	 ErrorLog has been started.
2016.07.29. 21:46:47	 Application closed
2016.07.29. 22:21:57	 ErrorLog has been started.
2016.07.29. 22:21:57	 Application closed
2016.08.10. 11:15:07	 ErrorLog has been started.
2016.08.10. 11:15:07	 Error with port opening.
A(z) „COM8” porthoz való hozzáférés megtagadva.
2016.08.10. 12:51:04	 Application closed
2016.08.10. 16:20:53	 ErrorLog has been started.
2016.08.10. 16:31:51	 ErrorLog has been started.
2016.08.10. 19:06:59	 ErrorLog has been started.
2016.08.10. 19:07:45	 Application closed
2016.08.24. 21:28:55	 ErrorLog has been started.
2016.08.24. 21:36:52	 Application closed
2016-08-24 21:53:51	 ErrorLog has been started.
2016-08-24 21:53:54	 Application closed
2016-08-25 21:48:47	 ErrorLog has been started.
2016-08-25 22:00:11	 Application closed
2016-08-25 22:04:53	 ErrorLog has been started.
2016-08-25 22:12:38	 Application closed
